course_name,distance,start_point_name,last_point,course_level,course_points,start_coordinates,end_coordinates
고덕천길,4.18Km,문희공유창모역입구,고덕주공6단지,1,고덕천교 인근~고덕차량기지 인근~강동고양차고지 인근~고덕주공6단지 인근,"(127.169352285282, 37.5473278401313)","(127.172845800366, 37.5493905676771)"
고덕산 산책길,1.90km,고덕동 생태경관보전지역,고덕산 정상,1,명일역 3번 출입구~고덕산 정상,"(127.019013990108, 37.0571290260774)","(127.34165308042573, 35.65829988907941)"
8코스-북한산코스,34.5km,도봉탐방지원센터 옆,도봉산역,2,은평뉴타운~선림사~북한산생태공원~탕춘대성암문~불심원~연화정사~성북생태체험관~빨래골지킴터~이준열사묘소~419국립묘지~봉황각~우이령길입구~연산군묘~정의공주묘~무수골~도봉탐방지원센터~도봉산역,"(126.99113199616436, 37.65818337226427)","(127.04606271663916, 37.68951167833238)"
7코스-봉산?앵봉산코스,16.6km,지하철 6호선 월드컵경기장역,구파발역,2,가양역~노을공원~하늘공원~월드컵경기장~봉산~앵봉산~구파발역,"(126.899098148061, 37.5696355653344)","(126.918852820009, 37.6364357889145)"
6코스-안양천코스,18㎞,양화교폭포,가양역,1,석수역~안양천~한강~가양역,"(126.878000262855, 37.5492062751275)","(126.85442142615852, 37.56143311719883)"
5코스-관악산코스,12.7㎞,관악산 끝부분,석수역,2,사당역~관악산~삼성산~석수역,"(126.96389684735281, 37.44446951034434)","(126.90232078368835, 37.43509293822681)"
4코스-대모?우면산코스,17.9㎞,양재시민의숲,사당역,2,수서역~대모산~구룡산~여의천~양재천~우면산~사당역,"(127.038471341381, 37.4701332061395)","(126.98155858357366, 37.47656223234824)"
3코스-고덕?일자산코스,26.1㎞,길동자연생태공원,수서역,1,광나루역~고덕산~일자산~성내천~탄천~수서역,"(127.15541883551022, 37.54081566319114)","(127.104469788175, 37.4852951142482)"
2코스-용마?아차산코스,12.6km,용마산 깔딱고개 쉼터,광나루역,2,화랑대역~묵동천~중랑캠핑숲~망우산~용마산~아차산~광나루역,"(127.10301973778, 37.5786833240152)","(127.103521464507, 37.5452991715677)"
1코스-수락?불암산코스,14.3km,경수사,화랑대역,3,도봉산역~서울창포원~덕릉고개~넓은마당~경수사~성관사~넓적바위~학도암~태릉~화랑대역,"(127.044579376747, 37.4762399085152)","(127.08354181123269, 37.61984245540276)"
