course_name,distance,start_point_name,last_point,course_level,course_points
달마을공원 산책길,0.59km,생태연못,보호초식물화원,1,진입마당~생태연못~야생초화원~달맞이언덕~아카시아나무 숲길~전망데크~숲속길~보호초식물화원
영등포동작구한강길,21.1Km,나이아가라 호텔,국립현충원,1,나이아가라관광호텔 인근~선유도 인근~KBS견학홀 인근~여의나루역수상택시 인근~조선이흠례묘지 인근~노들섬 인근~국립현충원 인근
안양천길,15.57Km,석수역,석수역,1,백골부대전적비 인근~목마공원 인근~목동종합운동장 인근~오목교 인근~오금사거리 인근~어린이교통공원 인근~구일역 인근~광명시청 인근~광명시청 인근~가산디지털단지 인근~독산역 인근~석수역 인근
영등포 봄꽃 나들길,3.84km,신도림역,신풍역,1,도림천역~신도림역~신길공원~신길동 넝쿨장미길~신풍역
여의도공원 산책길,2.82km,국회의사당역 3번 출입구,여의도공원 광장 여의도샛강생태공원,1,여의도공원 역~ 여의도공원 광장 여의도샛강생태공원
도림천길,10.56Km,보라매공원,청룡산,1,박정희 대통령 흉상 인근~영남중학교 인근~구로디지털단지역 인근~보라매공원 인근~신림역 인근~장군봉근린공원 인근~청룡산 인근
호암산 나들길,3.95km,흔들바위전망대,호압사,3,시흥계곡 입구~산복약수터연못~생태통로~호암폭포~호압사
청룡산 나들길,5.87km,관악영어마을,청룡상 산림욕장,1,청룡산 공원~누수식 생태연못~청룡상 산림욕장
독산ㆍ삼성산 나들길,5.61km,버스정류장(구민문화체육센터),호압사입구 사거리,1,감로천생태공원~금천전망대~산림감시초소~호압사입구 사거리
낙성대 산책길,1.22km,낙성대 천문대,낙성대공원,1,안국사~낙성대공원
관음사 산책길,0.81km,관음사,상록약수터,1,관음사~상록약수터
관악산 나들길,6.99km,신우초등학교,신우초등학교,2,샘말공원~맨발공원~약수암~신우초등학교
관악산 계곡 나들길,5.58km,관악산야외식물원,관악산야외식물원,2,관악산호수공원~용천수~관악산야외식물원
동작충효길(7코스_까치산길),3.53km,"경로당, 어린이 놀이터",북카페,1,"서울시립남서울미술관~생태통로~경로당, 어린이놀이터~북카페"
동작충효길(6코스_동작마루길),4.58km,숲길입구,상현중학교,2,청운종합복지원~동작관악적십자봉사관~상현중학교
동작충효길(5코스_보라매길),2.50km,보라매 e편한세상 아파트,동작구민회관,2,보라매e편한세상아파트~보라매삼성아파트~동작구민회관
동작충효길(4코스_노량진길),3.73km,대방 e편한세상 아파트,무장애 등산로,2,노량진수산시장~대방e편한세상~노량진 근린공원~무장애 등산로
동작충효길(3코스_한강나들길),3.96km,사육신공원 입구,효시정,2,사육신공원입구~노량진배수지시민공원~효시정
동작충효길(2코스_현충원길),2.50Km,버스정류장(정금마을),서달산산책로,2,국립현충원입구~사당출입문~서달산산책로
동작충효길(1코스_고구동산길),2.80km,고구동산 조망명소,달마사,2,노량진근린공원입구~고구동산조명명소~서달산자연생태탐방로~달마사
보라매공원 산책길,1.63km,보라매공원 후문,보라매공원 후문,1,보라매공원 호수~인공암벽등반장~보라매공원 후문
현충원 나들길,7.34km,버스정류장(정금마을),육탄10용사 현충비,2,정국교~박정희대통령묘소입구~호국지장사~육탄10용사 현충비
반포천,2.57Km,고속터미널역,고속터미널역,1,동작역 인근~구반포역 인근~반포주공아파트 인근~반포종합운동장 인근~고속터미널역 인근
여의천,5.69Km,양재시민의숲역 지하철 신분당선,넘말골,1,양재시민의숲 인근~세원마을 인근~청룡경로당회관 인근~넘말골 인근
서리골 서리풀 나들길,3.31km,서리풀 공원 입구,서리풀공원,1,서리골공원~몽마르뜨공원~서리풀공원
우면산 나들길,3.86km,예술의전당,소망탑 전망대,2,남부터미널역~소망탑 전망대
세곡천,3.70Km,대왕파출소 버스정류장,헌인릉,1,삼일자동차운전전문학원 인근~대왕초등학교 인근~세곡리엔파크1단지 인근~강남세곡LH푸르지오~헌인릉 인근
강남서초한강길,10.17Km,한양8차아파트,청담도로공원,1,한강홍수통제소 인근~달빛광장 인근~한강공원잠원지구 인근~성수대교 인근~한양8차아파트 인근구산아파트 인근~청담도로공원 인근
독정천,2.48Km,가든파이브,독정천끝,1,가든파이브(탄천) 인근~성모자애복지관 인근~서울자원 인근~독정천끝 인근
양재천,9.53Km,도곡역,양재1동주민센터,1,학여울역 인근~도곡역 인근~구룡초등학교 인근~양재시민의숲역 인근~양재1동주민센터 인근
구룡산 나들길,6.02km,개암약수터,개암약수터,2,달터근린공원~구룡산길 시작~개암약수터
대모산 나들길,4.80km,세곡2보금자리,대모산 정상,2,실로암 약수터~대모산 초소위~독도모형~대모산 정상
선정릉나들길,4.15km,봉은사 대웅전,선릉,2,대웅전~미륵대불~선릉외각길~매표소~정릉~전현왕후릉~선릉
탄천길,7.14Km,가든파이브,잠실종합운동장,1,송파자원순환공원 인근~서울메트로 수서차량사업소 인근~강남주민 편의시설 인근~잠실 우성아파트 인근~잠실종합운동장 인근
송파소리길,30.21km,서울삼전도비,양재천 산책로,3,석촌호수길~한성백제박물관~몽촌토성~양재천 산책로
